"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-248",3," 1.0863670","-0.345768296","-0.932503403","-0.72672952","-1.79383036","-0.54450140","-1.55586815"," 2.74204009","-1.067261369","-0.912220488"
"sub-248",4,"-0.17485063","-0.65346814","-0.98507638","-0.1175446","-0.70443787","-0.87566260","-0.98762228"," 0.51839065"," 0.10008242","-0.40734151"
"sub-249",1," 0.21927988"," 0.59386412"," 1.8727795286"," 1.04121598"," 0.37619756"," 1.06907675"," 0.03909469","-0.648347602"," 0.732393638"," 0.82210313"
"sub-249",2," 1.48049752"," 0.33877346"," 1.64922534"," 0.745833668","-0.242497247"," 0.70154072"," 0.06492404","-0.61743175"," 0.051443095"," 0.66264140"
"sub-249",3," 0.5345843","-0.079711785","-0.153338254"," 1.11728527"," 0.38205220"," 0.23798610","-0.09005210","-1.23770991"," 0.440557691"," 0.889898631"
"sub-249",4," 0.06162768"," 0.34918429"," 0.32642812"," 0.8989949","-0.18261693"," 0.18221899","-0.16754018","-0.72097665"," 0.92695094"," 0.56144446"
"sub-250",1,"-0.80545944",NA,"-1.1005995598"," 0.35907322"," 1.19517402"," 1.32417878"," 0.60734055","-0.430118250"," 0.148721744"," 0.66234133"
"sub-250",2,"-0.80545944",NA,"-0.80759394","-0.135465462"," 0.252726532"," 0.08006613"," 0.24572955","-0.71327359"," 0.148721744"," 0.64211918"
"sub-250",3,"-0.8054594",NA,"-0.565246283"," 0.56182004"," 1.02154615"," 0.60337741","-0.03839339","-1.19978266"," 0.732393638"," 2.952041330"
"sub-250",4,"-0.80545944",NA,"-0.67306552"," 0.3502232"," 0.92646811"," 0.40952242"," 0.58151120","-0.66345204"," 0.24600039"," 0.58572499"
"sub-251",1,"-0.80545944","-3.44154283"," 0.0693475043","-1.34555656"," 0.37691676"," 0.39957992","-1.43317870","-0.864845197","-0.070155216"," 0.69678802"
"sub-251",2,"-0.80545944",NA," 0.77827508","-1.474957684","-0.247558213"," 0.47450395","-1.74313099","-0.49687080","-0.945663058"," 0.48378138"
"sub-251",3,"-0.8054594",NA,"-0.155604165","-1.40417994","-1.08348622"," 0.42743750","-1.51066677","-0.48584965","-0.361991163"," 0.462682550"
"sub-251",4,"-0.80545944",NA," 1.79283306","-1.5093044","-0.76296075"," 0.22616547","-1.69147228","-0.63814302","-0.16743387"," 0.49269717"
"sub-252",1,"-1.43606826",NA,"-1.8413255219","-2.57602300","-0.74347416",NA,"-3.20894704"," 0.936695317","-0.289032177",NA
"sub-252",2,"-1.43606826",NA," 0.15291550","-0.821798141"," 1.167469565","-4.97442942","-2.40823695","-0.46258639"," 2.726605944","-1.98602066"
"sub-252",3,"-1.4360683",NA,"-0.951858290","-0.51319405"," 0.45696075",NA,"-0.31605898"," 0.14778613","-3.401948946",NA
"sub-252",4,"-0.17485063"," 0.10385064","-0.91277555","-0.9134916","-0.27087012"," 1.59518095","-0.41937641"," 0.21695327","-3.88834219"," 0.05006982"
"sub-253",1,"-0.25367673","-0.27361987","-0.7073002693"," 0.08349267"," 0.47152378"," 1.14532213","-0.40646173","-0.015277056","-0.118794541"," 0.22820923"
"sub-253",2,"-0.56898114","-0.65063838"," 0.37006307","-0.483357522","-0.984084189"," 0.65040178","-0.87139017"," 0.28267503","-0.702466435","-0.16935759"
"sub-253",3,"-0.2536767","-0.589476833","-0.645585649"," 0.60748704"," 0.87947382"," 0.22458464","-0.27731495","-0.58784521"," 0.075762757"," 0.398016861"
"sub-253",4,"-0.72663334","-0.64072370"," 0.60858352","-0.6236003","-0.17403173","-0.42519387","-1.15551311"," 0.12767884","-2.16164617","-0.36659326"
"sub-255",1,"-0.80545944",NA," 0.1078787379"," 0.43130067"," 0.73493200"," 0.86437395"," 2.36373687"," 2.901300407","-1.383416978","-1.79273254"
"sub-255",2,"-0.80545944",NA," 0.37146883"," 0.152639937","-0.009879966"," 0.21112784"," 2.95781210"," 3.28958900","-1.383416978","-2.07538193"
"sub-255",3,"-0.8054594",NA,"-0.046386211"," 0.80995217","-0.06580141","-0.05957096"," 2.46705431"," 2.22047654","-0.897023733","-1.758711840"
"sub-255",4,"-0.80545944",NA,"-0.75575364"," 0.9412689","-0.21423532","-0.60632993"," 0.52985248"," 0.51878361"," 0.17304141","-0.96889219"
"sub-256",1,"-1.51489436",NA,"-0.2553654463"," 0.72622668"," 0.45482836"," 0.86111717","-0.34188834"," 0.019617632"," 1.413344182"," 0.48904896"
"sub-256",2,"-1.51489436",NA,"-0.21225069"," 1.370040181"," 0.369790212"," 0.52388607"," 0.22635753"," 0.42297276"," 0.537836340"," 0.31002699"
